time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-01-13 00:00:00+00:00,0,0,3,1
2021-01-14 00:00:00+00:00,3,3,0,0
2021-01-15 00:00:00+00:00,0,0,16,2
2021-01-18 00:00:00+00:00,2,2,8,1
2021-01-19 00:00:00+00:00,0,0,1,1
2021-01-22 00:00:00+00:00,9,8,156,2
2021-01-23 00:00:00+00:00,3,2,53,3
2021-01-28 00:00:00+00:00,0,0,6,1
2021-01-29 00:00:00+00:00,0,0,2,1
2021-02-01 00:00:00+00:00,0,0,9,1
2021-02-07 00:00:00+00:00,5,5,31,1
2021-02-09 00:00:00+00:00,1,1,0,0
2021-02-10 00:00:00+00:00,0,0,15,1
2021-02-12 00:00:00+00:00,0,0,1,1
2021-02-14 00:00:00+00:00,0,0,8,1
2021-02-15 00:00:00+00:00,0,0,2,1
2021-02-22 00:00:00+00:00,3,3,13,2
2021-02-23 00:00:00+00:00,0,0,1,1
2021-02-24 00:00:00+00:00,1,1,0,0
